subject,delta_rel_mean,delta_rel_sd,delta_n,theta_rel_mean,theta_rel_sd,theta_n,alpha_rel_mean,alpha_rel_sd,alpha_n,beta_rel_mean,beta_rel_sd,beta_n,gamma_rel_mean,gamma_rel_sd,gamma_n
al,49.98883898607132,7.731839365992115,5,17.322096980152686,2.371172716720111,5,7.918674627818525,1.8960211114403498,5,17.937491438811037,9.433289182171725,5,2.818484707407067,1.0100587170168058,5
cc,33.68407784583583,11.627310966758937,5,9.63369500550063,3.378269249225533,5,5.3152269565691235,1.0353988303217563,5,44.37975710953741,6.484041900412878,5,6.150374446952358,1.1762423256913976,5
qy,46.85157751810626,6.867188187212747,5,15.792002504503094,0.5417113384820911,5,8.837158271069487,0.9873211795857524,5,20.785943613205824,6.109135269800134,5,3.6505022680792485,0.6711799469772431,5
rt,27.535189806811086,6.704329973431765,5,11.053949675355469,4.648666693304839,5,6.230424004945076,1.7629137413006664,5,45.29843263150296,5.279517222197267,5,8.007329442740684,1.151758531840651,5
sk,25.197792853086618,6.738853471568239,5,8.880650252022757,2.4410293975136597,5,8.201347721714614,2.090816859666618,5,35.34960845005859,4.104838890754996,5,19.916409043946608,7.128242886826761,5
ty,25.550078948330217,9.606734002765846,5,14.869831704720829,2.5695794677787265,5,9.092675415504683,2.0952656597842942,5,38.57552316192505,8.214987753115706,5,8.755596711339098,3.479008355807294,5
wl,52.04498393655348,7.399960362356647,5,11.229825703776878,6.258940504274323,5,4.4001069439089715,0.6911532838057984,5,26.454801973909856,13.941590996274824,5,4.362824638825545,1.6048014425036337,5
wn_bt,34.58410414585241,8.083245454527646,5,9.562408632027925,1.463719847486668,5,7.797513200419097,1.384458151079558,5,40.954014166123116,7.414613169454645,5,4.923135494683652,0.35604791335788344,5
yl,23.629169589373724,7.066149559063908,5,11.26290432671774,3.886047119523235,5,8.842402588483296,1.1425193999006567,5,40.78159577834128,6.9131822073913165,5,14.832284303073369,6.307875411729088,5
zw,29.848388114456334,6.6212418155614925,5,15.380111111984528,0.5871409781974006,5,27.965995504467525,3.213323055089114,5,17.368102537932128,3.1609254510515754,5,3.870251072181327,0.7230037367925766,5
